N_Estimators,Ft_type,acc,f1,f1_macro,Subset
50,raw,0.7962350020686801,0.16774774774774776,0.6113695020999844,small_without_noise_not_inverted
50,pca,0.631981795614398,0.0,0.3525755422050709,small_without_noise_not_inverted
50,var,0.7194869673148532,0.08781779661016949,0.5078665998812371,small_without_noise_not_inverted
50,raw,0.8011998345055855,0.1505204491435128,0.6145933717658181,medium_without_noise_not_inverted
50,pca,0.6489449731071576,0.0,0.3776923599411296,medium_without_noise_not_inverted
50,var,0.7366570128258172,0.08174416579588992,0.5214063682275689,medium_without_noise_not_inverted
50,raw,0.8061646669424907,0.24693963697762766,0.6408207386730893,medium_with_noise_inverted
50,pca,0.6323955316508068,0.0,0.33409902027852034,medium_with_noise_inverted
50,var,0.7503103020273065,0.1374630667345899,0.5558651445993963,medium_with_noise_inverted
100,raw,0.8018204385601986,0.15268065268065267,0.6128938620678728,small_without_noise_not_inverted
100,pca,0.6338436077782375,0.0,0.3476050935914209,small_without_noise_not_inverted
100,var,0.7232105916425321,0.08875359173749672,0.5094504752347846,small_without_noise_not_inverted
100,raw,0.805750930906082,0.1534602784602785,0.6161596497982773,medium_without_noise_not_inverted
100,pca,0.64480761274307,0.0,0.37417560545722306,medium_without_noise_not_inverted
100,var,0.738725693007861,0.07265347870557767,0.5227051565502099,medium_without_noise_not_inverted
100,raw,0.808440215142739,0.2386734067180044,0.6414717143919211,medium_with_noise_inverted
100,pca,0.6342573438146462,0.0,0.33716856358341407,medium_with_noise_inverted
100,var,0.7525858502275549,0.1259416595865194,0.5544997448264851,medium_with_noise_inverted
150,raw,0.7995448903599504,0.14230326216627587,0.6092689140568626,small_without_noise_not_inverted
150,pca,0.6348779478692594,0.0,0.3521187650740385,small_without_noise_not_inverted
150,var,0.7240380637153496,0.07051354488766527,0.5072733540822163,small_without_noise_not_inverted
150,raw,0.806371534960695,0.15339857724413009,0.6219928442347549,medium_without_noise_not_inverted
150,pca,0.6534960695076542,0.0,0.38098890662003904,medium_without_noise_not_inverted
150,var,0.7401737691352916,0.07313719543018907,0.5204898744414812,medium_without_noise_not_inverted
150,raw,0.8086470831609434,0.24410728545258117,0.6411930381575547,medium_with_noise_inverted
150,pca,0.6379809681423252,0.0,0.34101582900826566,medium_with_noise_inverted
150,var,0.7567232105916426,0.14292449446033062,0.5627944627572741,medium_with_noise_inverted
